"","X","abv","ibu","id","name","style","brewery_id","ounces"
"333",1089,0.066,75,2199,"Hopworks IPA","American IPA",80,16
"334",1092,0.058,60,1085,"Rise-Up Red (2014)","American Amber / Red Ale",80,16
"335",1095,0.066,75,653,"Hopworks IPA (2012)","American IPA",80,16
"336",1101,0.068,90,1903,"Let It Ride IPA","American IPA",277,12
"337",1104,0.046,27,1115,"Shenanigans Summer Ale","American Pale Wheat Ale",277,12
"338",1106,0.054,45,728,"Day Tripper Pale Ale","American Pale Ale (APA)",277,12
"339",1107,0.048,32,2350,"Oklahoma Suks","American Amber / Red Ale",140,12
"340",1108,0.055,42,2301,"Power & Light","American Pale Ale (APA)",140,12
"341",1110,0.058,58,2609,"Tribute","American Pale Ale (APA)",23,12
"342",1111,0.07,75,2038,"Infamous IPA","American IPA",242,12
"343",1113,0.045,20,559,"Jon Boat Coastal Ale","American Blonde Ale",527,12
"344",1114,0.068,55,558,"I-10 IPA","American IPA",527,12
"345",1115,0.053,28,553,"People's Pale Ale","American Pale Ale (APA)",527,12
"346",1125,0.055,37,1793,"Thunder Ann","American Pale Ale (APA)",312,12
"347",1139,0.05,50,469,"Fox Tail Gluten Free Ale","American Pale Ale (APA)",233,12
"348",1140,0.093,90,468,"Hop Box Imperial IPA","American Double / Imperial IPA",233,12
"349",1146,0.055,40,1557,"Weekend Warrior Pale Ale","American Pale Ale (APA)",125,12
"350",1150,0.095,85,666,"Rodeo Clown Double IPA","American Double / Imperial IPA",125,12
"351",1153,0.066,70,463,"Hopadillo India Pale Ale","American IPA",125,12
"352",1155,0.06,64,1572,"KelSo India Pale Ale","American IPA",342,12
"353",1158,0.05,15,1187,"Peninsula Brewers Reserve (PBR)","American Blonde Ale",458,12
"354",1162,0.065,65,759,"Double Haul IPA (2009)","American IPA",510,16
"355",1163,0.065,65,758,"Double Haul IPA (2006)","American IPA",510,16
"356",1164,0.055,50,87,"Eddy Out Pale Ale","American Pale Ale (APA)",510,16
"357",1165,0.065,65,86,"Double Haul IPA","American IPA",510,16
"358",1176,0.06,70,1667,"King Street IPA","American IPA",102,12
"359",1179,0.063,65,2460,"India Pale Ale","American IPA",87,16
